,name
3282,Seedborn Muse
3291,Skyshroud Ranger
3302,Spined Wurm
3310,Stalking Tiger
3320,Stampeding Wildebeests
3334,Sylvan Basilisk
3343,Sylvan Scrying
3354,Tangle Spider
3369,Treetop Bracers
3382,Troll Ascetic
3396,Upwelling
3411,Verdant Force
3421,Viridian Shaman
3431,Wall of Wood
3445,Yavimaya Enchantress
3454,Angel's Feather
3464,Bottle Gnomes
3473,Chimeric Staff
3483,Chromatic Star
3494,Citanul Flute
3505,Coat of Arms
3520,Colossus of Sardia
3534,Composite Golem
3544,Crucible of Worlds
3555,Demon's Horn
3565,Doubling Cube
3575,Dragon's Claw
3585,Fountain of Youth
3596,The Hive
3610,Howling Mine
3621,Icy Manipulator
3631,Jayemdae Tome
3641,Juggernaut
3650,Kraken's Eye
3659,Legacy Weapon
3670,Leonin Scimitar
3684,Loxodon Warhammer
3699,Mantis Engine
3712,Millstone
3721,Mind Stone
3730,Ornithopter
3744,Phyrexian Vault
3753,Pithing Needle
3763,Platinum Angel
3778,Razormane Masticore
3792,Rod of Ruin
3802,Sculpting Steel
3813,Spellbook
3824,Steel Golem
3835,Whispersilk Cloak
3850,Wurm's Tooth
3860,Adarkar Wastes
3870,Battlefield Forge
3880,Brushland
3890,Caves of Koilos
3900,Faerie Conclave
3914,Forbidding Watchtower
3925,Ghitu Encampment
3939,Karplusan Forest
3947,Llanowar Wastes
3957,Quicksand
3967,Shivan Reef
3978,Spawning Pool
3992,Sulfurous Springs
4003,Terramorphic Expanse
4012,Treetop Village
4026,Underground River
4037,Yavimaya Coast
4048,Plains
4088,Island
4127,Swamp
4165,Mountain
4204,Forest
4243,Animate Wall
4248,Armageddon
4253,Balance
4258,Benalish Hero
4262,Black Ward
4265,Blaze of Glory
4269,Blessing
4274,Blue Ward
4279,Castle
4283,Circle of Protection: Black
4286,Circle of Protection: Blue
4290,Circle of Protection: Green
4294,Circle of Protection: Red
4299,Circle of Protection: White
4303,Consecrate Land
4307,Conversion
4311,Death Ward
4314,Disenchant
4319,Farmstead
4323,Green Ward
4327,Guardian Angel
4331,Healing Salve
4334,Holy Armor
4342,Island Sanctuary
4346,Karma
4351,Lance
4356,Mesa Pegasus
4360,Northern Paladin
4364,Pearled Unicorn
4368,Personal Incarnation
4373,Purelace
4377,Red Ward
4381,Resurrection
4386,Reverse Damage
4398,Savannah Lions
4407,Swords to Plowshares
4411,Veteran Bodyguard
4420,White Knight
4424,White Ward
4438,Ancestral Recall
4441,Animate Artifact
4445,Blue Elemental Blast
4450,Braingeyser
4458,Control Magic
4462,Copy Artifact
4466,Counterspell
4470,Creature Bond
4474,Drain Power
4479,Feedback
4484,Flight
4488,Invisibility
4492,Jump
4495,Lifetap
4500,Lord of Atlantis
4504,Magical Hack
4514,Mana Short
4519,Merfolk of the Pearl Trident
4522,Phantasmal Forces
4527,Phantasmal Terrain
4531,Phantom Monster
4535,Pirate Ship
4539,Power Leak
4542,Power Sink
4547,Prodigal Sorcerer
4550,Psionic Blast
4555,Psychic Venom
4558,Sea Serpent
4561,Siren's Call
4566,Sleight of Mind
4571,Spell Blast
4575,Stasis
