,name
41362,Alley Evasion
41372,Audacious Infiltrator
41381,Bastion Enforcer
41389,Call for Unity
41399,Caught in the Brights
41408,Consulate Crackdown
41418,Conviction
41428,Countless Gears Renegade
41437,Dawnfeather Eagle
41451,Deadeye Harpooner
41460,Decommission
41469,Deft Dismissal
41478,Exquisite Archangel
41488,Felidar Guardian
41498,Ghirapur Osprey
41507,Restoration Specialist
41517,Solemn Recruit
41526,"Sram, Senior Edificer"
41535,Sram's Expertise
41544,Thopter Arrest
41553,Aether Swooper
41563,Aethertide Whale
41573,"Baral, Chief of Compliance"
41583,Baral's Expertise
41592,Bastion Inventor
41601,Disallow
41610,Dispersal Technician
41618,Efficient Construction
41628,Hinterland Drake
41637,Ice Over
41646,Illusionist's Stratagem
41657,Leave in the Dust
41666,Mechanized Production
41686,Negate
41696,Quicksmith Spy
41705,Reverse Engineer
41714,Salvage Scuttler
41724,Shielded Aether Thief
41734,Shipwreck Moray
41743,Skyship Plunderer
41752,Take into Custody
41761,Trophy Mage
41771,Whir of Invention
41780,Wind-Kin Raiders
41789,Aether Poisoner
41799,Alley Strangler
41812,Battle at the Bridge
41823,Cruel Finality
41832,Daring Demolition
41860,Fen Hauler
41869,Foundry Hornet
41878,Fourth Bridge Prowler
41889,Gifted Aetherborn
41899,Glint-Sleeve Siphoner
41909,Gonti's Machinations
41920,Herald of Anguish
41930,Ironclad Revolutionary
41939,Midnight Entourage
41948,Night Market Aeronaut
41957,Perilous Predicament
41966,Renegade's Getaway
41975,Resourceful Return
41985,Secret Salvage
41994,Sly Requisitioner
42004,Vengeful Rebel
42023,Yahenni's Expertise
42034,Aether Chaser
42044,Chandra's Revolution
42053,Destructive Tampering
42062,Embraal Gear-Smasher
42072,Enraged Giant
42081,Freejam Regent
42090,Frontline Rebel
42098,Gremlin Infestation
42106,Hungry Flames
42116,Indomitable Creativity
42126,Invigorated Rampage
42136,"Kari Zev, Skyship Raider"
42147,Kari Zev's Expertise
42156,Lathnu Sailback
42165,Lightning Runner
42175,Pia's Revolution
42185,Precise Strike
42194,Quicksmith Rebel
42213,Reckless Racer
42223,Release the Gremlins
42233,Scrapper Champion
42252,Siege Modification
42262,Sweatworks Brawler
42271,Wrangle
42285,Aether Herder
42294,Aetherstream Leopard
42303,Aetherwind Basker
42313,Aid from the Cowl
42324,Druid of the Cowl
42333,Greenbelt Rampager
42343,Greenwheel Liberator
42352,Heroic Intervention
42361,Hidden Herbalists
42370,Highspire Infusion
42379,Lifecraft Awakening
42388,Lifecraft Cavalry
42397,Lifecrafter's Gift
42408,Maulfist Revolutionary
42418,Monstrous Onslaught
42428,Narnam Renegade
42438,Natural Obsolescence
42447,Peema Aether-Seer
42457,Prey Upon
42466,Ridgescale Tusker
42486,Rishkar's Expertise
42495,Scrounging Bandar
42505,Silkweaver Elite
42514,Unbridled Growth
42524,Ajani Unyielding
42535,Dark Intimations
42556,Maverick Thopterist
42566,Oath of Ajani
42577,Outland Boar
42586,Renegade Rallier
42596,Renegade Wheelsmith
42606,Rogue Refiner
42615,Spire Patrol
42625,Tezzeret the Schemer
42635,Tezzeret's Touch
42644,Weldfast Engineer
42653,Winding Constrictor
42663,Aegis Automaton
42671,Aethersphere Harvester
42681,Augmenting Automaton
42690,Barricade Breaker
42708,Consulate Dreadnought
42719,Consulate Turret
42729,Crackdown Construct
42739,Daredevil Dragster
42748,Filigree Crawler
42757,Foundry Assembler
42766,Gonti's Aether Heart
42776,Heart of Kiran
42787,Hope of Ghirapur
42797,Implement of Combustion
42806,Implement of Examination
42815,Implement of Ferocity
42825,Implement of Improvement
42835,Implement of Malice
42844,Inspiring Statuary
42853,Irontread Crusher
42862,Lifecrafter's Bestiary
42872,Merchant's Dockhand
42882,Metallic Mimic
42893,Mobile Garrison
42904,Night Market Guard
42922,Pacification Array
42932,Paradox Engine
42942,Peacewalker Colossus
42962,Prizefighter Construct
42971,Renegade Map
42980,Reservoir Walker
42989,Scrap Trawler
42998,Servo Schematic
43018,Universal Solvent
43027,Untethered Express
43037,Verdant Automaton
43056,Watchful Automaton
43065,Welder Automaton
43074,Spire of Industry
43084,"Ajani, Valiant Protector"
43089,Inspiring Roar
43095,Ajani's Comrade
43102,Ajani's Aid
43108,Tranquil Expanse
43115,"Tezzeret, Master of Metal"
43120,Tezzeret's Betrayal
43126,Pendulum of Patterns
43132,Tezzeret's Simulacrum
43139,Submerged Boneyard
43147,"Galea, Kindler of Hope"
43151,"Prosper, Tome-Bound"
43155,Sefris of the Hidden Ways
43160,"Vrondiss, Rage of Ancients"
43164,Fey Steed
43170,Holy Avenger
43174,Immovable Rod
43178,Mantle of the Ancients
43183,Radiant Solar
43189,Revivify
43193,Robe of Stars
43197,Thorough Investigation
43201,Valiant Endeavor
43205,Arcane Endeavor
43210,Diviner's Portent
43215,"Minn, Wily Illusionist"
43219,Netherese Puzzle-Ward
43224,Phantom Steed
43228,Rod of Absorption
43233,Winged Boots
43238,Bag of Devouring
43242,Danse Macabre
43247,Death Tyrant
43251,Grave Endeavor
43256,Grim Hireling
43262,Hellish Rebuke
43266,"Lorcan, Warlock Collector"
43269,Wand of Orcus
43275,Berserker's Frenzy
43279,Chaos Dragon
43283,Fiendlash
43287,Maddening Hex
43293,Reckless Endeavor
43298,Share the Spoils
43303,Vengeful Ancestor
43307,Wild-Magic Sorcerer
43311,Bag of Tricks
43315,Belt of Giant Strength
43320,Druid of Purification
43325,Indomitable Might
43329,Neverwinter Hydra
43333,Song of Inspiration
43337,Wild Endeavor
43341,Catti-brie of Mithral Hall
43347,Dragonborn Champion
43351,Extract Brain
43355,Fevered Suspicion
43360,Hurl Through Hell
43364,"Karazikar, the Eye Tyrant"
43368,"Klauth, Unrivaled Ancient"
43372,Klauth's Will
43378,Midnight Pathlighter
43384,Nihiloor
43388,Ride the Avalanche
43393,"Storvald, Frost Giant Jarl"
43397,Wulfgar of Icewind Dale
43401,Bucknard's Everfull Purse
43405,Clay Golem
43410,Component Pouch
43416,Ebony Fly
43420,Sword of Hours
43423,Underdark Rift
43428,Angel of Finality
43433,Angelic Gift
43437,Cataclysmic Gearhulk
43441,Eternal Dragon
43445,Gryff's Boon
43450,Karmic Guide
43458,Realm-Cloaked Giant // Cast Off
43465,Ronom Unicorn
43473,Sun Titan
43478,Sunblast Angel
43496,Winds of Rath
43507,Champion of Wits
43511,Curator of Mysteries
43516,Curse of Verbosity
43529,Imprisoned in the Moon
43545,Phantasmal Image
43550,Prognostic Sphinx
43554,Propaganda
43559,Psychic Impetus
43563,Riverwise Augur
43571,Chittering Witch
43577,Consuming Vapors
43581,Dead Man's Chest
43590,Fiend of the Shadows
43594,"Gonti, Lord of Luxury"
43598,Hex
43602,Marionette Master
43606,Necromantic Selection
43611,Ogre Slumlord
43616,Phthisis
43620,Piper of the Swarm
43625,Plaguecrafter
43629,Pontiff of Blight
43633,Reassembling Skeleton
43636,Shriekmaw
43644,Victimize
43649,Anger
43653,Apex of Power
43657,Bogardan Hellkite
43661,Chain Reaction
43669,Commune with Lava
43678,Demanding Dragon
43682,Dire Fleet Daredevil
43687,Disrupt Decorum
43692,Dragonlord's Servant
43698,Dragonmaster Outcast
43703,Dream Pillager
43707,"Etali, Primal Storm"
43713,Gratuitous Violence
43718,Hoard-Smelter Dragon
43722,Ignite the Future
43731,Light Up the Stage
43735,Loyal Apprentice
43739,Magmaquake
43743,Opportunistic Dragon
43747,Outpost Siege
43752,Rile
43757,Scourge of Valkas
43762,Shiny Impetus
43770,Skyline Despot
43774,Skyship Stalker
43778,Spit Flame
43782,Taurean Mauler
43786,Tectonic Giant
43790,Terror of Mount Velus
43795,Throes of Chaos
43800,Thunderbreak Regent
43805,Vandalblast
43814,Abundant Growth
43818,Acidic Slime
43822,Beast Within
43826,Chameleon Colossus
43831,Colossal Majesty
43839,Decree of Savagery
43852,Garruk's Uprising
43865,Kenrith's Transformation
43869,Kindred Summons
43879,Paradise Druid
43892,Return of the Wildspeaker
43897,Return to Nature
43915,Verdant Embrace
43928,"Atarka, World Render"
43942,Bedevil
43947,Behemoth Sledge
43958,Cold-Eyed Selkie
43963,Despark
43967,Fleecemane Lion
43977,Knight of Autumn
43983,Necrotic Sliver
43987,Obsessive Stitcher
43992,Rakdos Charm
43997,Savage Ventmaw
44002,Shielding Plax
44010,Theater of Horrors
44019,Vanish into Memory
44028,Argentum Armor
44040,Burnished Hart
44044,Chaos Wand
44049,Colossus Hammer
44059,Dragon's Hoard
44064,Explorer's Scope
44072,Gruul Signet
44076,Heirloom Blade
44085,Meteor Golem
44094,Moonsilver Spear
44099,Orazca Relic
44103,Rakdos Signet
44113,Solemn Simulacrum
44123,Sword of the Animist
44136,Viridian Longbow
44152,Bant Panorama
44156,Bojuka Bog
44161,Canopy Vista
44181,Crucible of the Spirit Dragon
44188,Desert
44196,Esper Panorama
44205,Flood Plain
44214,Fortified Village
44222,Geier Reach Sanitarium
44226,Grasslands
44234,Halimar Depths
44239,Haven of the Spirit Dragon
44248,Lumbering Falls
44258,Mortuary Mire
44263,Mossfire Valley
44268,Mosswort Bridge
44273,Nimbus Maze
44298,Seaside Citadel
44302,Shadowblood Ridge
44315,Smoldering Marsh
44321,Spinerock Knoll
44325,Sungrass Prairie
44333,Tainted Peak
44342,Thriving Grove
44346,Thriving Heath
44350,Thriving Isle
44354,Thriving Moor
44358,"Vitu-Ghazi, the City-Tree"
44362,Zhalfirin Void
44649,Dragonspeaker Shaman
47989,Angel of Sanctions
47999,Anointed Procession
48010,Anointer Priest
48019,Approach of the Second Sun
48030,Aven Mindcensor
48040,Binding Mummy
48049,Cartouche of Solidarity
48057,Cast Out
48067,Compulsory Rest
48077,Devoted Crop-Mate
48086,Djeru's Resolve
48096,Fan Bearer
48105,Forsake the Worldly
48116,Gideon of the Trials
48127,Gideon's Intervention
48137,Glory-Bound Initiate
48146,Gust Walker
48155,Impeccable Timing
48163,In Oketra's Name
48173,Mighty Leap
48182,Oketra the True
48192,Oketra's Attendant
48201,Protection of the Hekma
48211,Regal Caracal
48231,Rhet-Crop Spearmaster
48240,Sacred Cat
48251,Seraph of the Suns
48260,Sparring Mummy
48269,Supply Caravan
48278,Tah-Crop Elite
48287,Those Who Serve
48296,Time to Reflect
48306,Trial of Solidarity
48316,Trueheart Duelist
48325,Unwavering Initiate
48334,Vizier of Deferment
48343,Vizier of Remedies
48353,Winged Shepherd
48362,Ancient Crab
48371,Angler Drake
48408,Cartouche of Knowledge
48417,Censor
48426,Compelling Argument
48436,Cryptic Serpent
48457,Decision Paralysis
48466,Drake Haven
48476,Essence Scatter
48485,Floodwaters
48494,Galestrike
48503,Glyph Keeper
48512,Hekma Sentinels
48521,Hieroglyphic Illumination
48532,Illusory Wrappings
48541,Kefnet the Mindful
48552,Labyrinth Guardian
48561,Lay Claim
48571,Naga Oracle
48580,New Perspectives
48590,Open into Wonder
48612,River Serpent
48621,Sacred Excavation
48631,Scribe of the Mindful
48640,Seeker of Insight
48649,Shimmerscale Drake
48658,Slither Blade
48667,Tah-Crop Skirmisher
48676,Trial of Knowledge
48686,Vizier of Many Faces
48696,Vizier of Tumbling Sands
48705,Winds of Rebuke
48715,Zenith Seeker
48724,Archfiend of Ifnir
48735,Baleful Ammit
48745,Blighted Bat
48764,Bontu the Glorified
48775,Cartouche of Ambition
48785,Cruel Reality
48796,Cursed Minotaur
48806,Dispossess
48815,Doomed Dissenter
48826,Dread Wanderer
48837,Dune Beetle
48846,Faith of the Devoted
48856,Festering Mummy
48865,Final Reward
48883,Grim Strider
48901,Lay Bare the Heart
48910,"Liliana, Death's Majesty"
48920,Liliana's Mastery
48929,Lord of the Accursed
48939,Miasmic Mummy
48949,Nest of Scarabs
48958,Painful Lesson
48967,Pitiless Vizier
48976,Plague Belcher
48985,Ruthless Sniper
48994,Scarab Feast
49003,Shadow of the Grave
49014,Soulstinger
49024,Splendid Agony
49034,Stir the Sands
49054,Trespasser's Curse
49062,Trial of Ambition
49071,Unburden
49080,Wander in Death
49089,Wasteland Scorpion
49098,Ahn-Crop Crasher
49109,Battlefield Scavenger
49118,Blazing Volley
49128,Bloodlust Inciter
49139,Bloodrage Brawler
49148,Brute Strength
49158,By Force
49167,Cartouche of Zeal
49176,Combat Celebrant
49187,Consuming Fervor
49197,Deem Worthy
49206,Desert Cerodon
49216,Electrify
49225,Emberhorn Minotaur
49234,Flameblade Adept
49244,Fling
49253,Glorious End
49264,Glorybringer
49274,Harsh Mentor
49283,Hazoret the Fervent
49293,Hazoret's Favor
49302,Heart-Piercer Manticore
49311,Hyena Pack
49320,Limits of Solidarity
49329,Magma Spray
49338,Manticore of the Gauntlet
49347,Minotaur Sureshot
49356,Nef-Crop Entangler
49365,Nimble-Blade Khenra
49374,Pathmaker Initiate
49383,Pursue Glory
49392,Soul-Scar Mage
49402,Sweltering Suns
49421,Tormenting Voice
49432,Trial of Zeal
49441,Trueheart Twins
49450,Violent Impact
49460,Warfire Javelineer
49469,Benefaction of Rhonas
49480,Bitterblade Warrior
49490,Cartouche of Strength
49499,Champion of Rhonas
49510,Channeler Initiate
49521,Colossapede
49531,Crocodile of the Crossing
49541,Defiant Greatmaw
49550,Dissenter's Deliverance
49560,Exemplar of Strength
49578,Gift of Paradise
49587,Greater Sandwurm
49597,Hapatra's Mark
49608,Harvest Season
49619,Haze of Pollen
49628,Honored Hydra
49638,Hooded Brawler
49647,Initiate's Companion
49657,Manglehorn
49666,Naga Vitalist
49676,Oashra Cultivator
49685,Ornery Kudu
49694,Pouncing Cheetah
49703,Prowling Serpopard
49713,Quarry Hauler
49722,Rhonas the Indomitable
49732,Sandwurm Convergence
49743,Scaled Behemoth
49752,Shed Weakness
49761,Shefet Monitor
49772,Sixth Sense
49782,Spidery Grasp
49791,Stinging Shot
49800,Synchronized Strike
49809,Trial of Strength
49818,Vizier of the Menagerie
49829,Watchful Naga
49838,Ahn-Crop Champion
49847,Aven Wind Guide
49865,Decimator Beetle
49875,Enigma Drake
49885,"Hapatra, Vizier of Poisons"
49896,Honored Crop-Captain
49907,Khenra Charioteer
49918,Merciless Javelineer
49927,"Neheb, the Worthy"
49937,"Nissa, Steward of Elements"
49948,"Samut, Voice of Dissent"
49959,Shadowstorm Vizier
49968,"Temmet, Vizier of Naktamun"
49977,Wayward Servant
49987,Weaver of Currents
49996,Dusk // Dawn
50012,Commit // Memory
50028,Never // Return
50044,Insult // Injury
50059,Mouth // Feed
50075,Start // Finish
50090,Reduce // Rubble
50105,Destined // Lead
50120,Onward // Victory
50134,Spring // Mind
50148,Prepare // Fight
50162,Failure // Comply
50177,Rags // Riches
50192,Cut // Ribbons
50208,Heaven // Earth
50222,Bontu's Monument
50231,Edifice of Authority
50240,Embalmer's Tools
50250,Gate to the Afterlife
50260,Hazoret's Monument
50269,Honed Khopesh
50278,Kefnet's Monument
50287,Luxa River Shrine
50296,Oketra's Monument
50305,Oracle's Vault
50316,Pyramid of the Pantheon
50325,Rhonas's Monument
50334,Throne of the God-Pharaoh
50345,Watchers of the Dead
50355,Canyon Slough
50366,Cascading Cataracts
50377,Cradle of the Accursed
50397,Fetid Pools
50408,Grasping Dunes
50418,Irrigated Farmland
50428,Painted Bluffs
50439,Scattered Groves
50450,Sheltered Thicket
50460,Sunscorched Desert
50661,"Gideon, Martial Paragon"
50666,Companion of the Trials
50672,Gideon's Resolve
50680,Graceful Cat
50687,Stone Quarry
50693,"Liliana, Death Wielder"
50698,Desiccated Naga
50705,Liliana's Influence
50712,Tattered Mummy
50720,Foul Orchard
50727,Cinder Barrens
50733,Forsaken Sanctuary
50740,Highland Lake
50746,Meandering River
50757,Timber Gorge
50768,Woodland Stream
50773,Akrasan Squire
50784,Angel's Herald
50793,Angelic Benediction
50803,Angelsong
50813,Bant Battlemage
50823,Battlegrace Angel
50834,Cradle of Vitality
50844,Dispeller's Capsule
50852,"Elspeth, Knight-Errant"
50873,Excommunicate
50882,Guardians of Akrasa
50893,Gustrider Exuberant
50902,Invincible Hymn
50921,Knight of the White Orchid
50931,Knight-Captain of Eos
50942,Marble Chalice
50951,Metallurgeon
50961,Oblivion Ring
50972,Ranger of Eos
50983,Resounding Silence
50992,Rockcaster Platoon
51010,Scourglass
51019,Sighted-Caste Sorcerer
51030,Sigiled Paladin
51040,Soul's Grace
51049,Sunseed Nurturer
51058,Welkin Guide
51067,Yoked Plowbeast
51076,Call to Heel
51094,Cathartic Adept
51104,Cloudheath Drake
51113,Coma Veil
51122,Courier's Capsule
51132,Covenant of Minds
51141,Dawnray Archer
51151,Esper Battlemage
51160,Etherium Astrolabe
51170,Etherium Sculptor
51179,Fatestitcher
51189,Filigree Sages
51200,Gather Specimens
51209,Jhessian Lookout
51218,Kathari Screecher
51247,Memory Erosion
51258,Mindlock Orb
51268,Outrider of Jhess
51278,Protomatter Powder
51288,Resounding Wave
51297,Sharding Sphinx
51307,Skill Borrower
51317,Spell Snip
51326,Sphinx's Herald
51336,Steelclad Serpent
51345,Tezzeret the Seeker
51355,Tortoise Formation
51365,Vectis Silencers
51383,Archdemon of Unx
51393,Banewasp Affliction
51403,Blister Beetle
51413,Bone Splinters
51423,Corpse Connoisseur
51434,Cunning Lethemancer
51443,Death Baron
51451,Deathgreeter
51459,Demon's Herald
51469,Dreg Reaver
51478,Dregscape Zombie
51499,Fleshbag Marauder
51519,Grixis Battlemage
51528,Immortal Coil
51538,Infest
51547,Onyx Goblet
51557,Puppet Conjurer
51567,Resounding Scream
51586,Scavenger Drake
51596,Shadowfeed
51605,Shore Snapper
51614,Skeletal Kathari
51624,Tar Fiend
51634,Undead Leotau
51643,Vein Drinker
51653,Viscera Dragger
51663,Bloodpyre Elemental
51672,Bloodthorn Taunter
51682,Caldera Hellion
51691,Crucible of Fire
51701,Dragon Fodder
51711,Dragon's Herald
51720,Exuberant Firestoker
51729,Flameblast Dragon
51738,Goblin Assault
51756,Hell's Thunder
51776,Incurable Ogre
51785,Jund Battlemage
51795,Lightning Talons
51813,Predator Dragon
51824,Resounding Thunder
51833,Ridge Rannet
51843,Rockslide Elemental
51854,Scourge Devil
51874,Soul's Fire
51883,Thorn-Thrash Viashino
51892,Thunder-Thrash Elder
51901,Viashino Skeleton
51910,Vicious Shadows
51921,Vithian Stinger
51930,Volcanic Submersion
51939,Where Ancients Tread
51950,Algae Gharial
51959,Behemoth's Herald
51968,Cavern Thoctar
51977,Court Archers
51986,Cylian Elf
51995,Druid of the Anima
52003,Drumhunter
52012,Elvish Visionary
52022,Feral Hydra
52030,Gift of the Gargantuan
52039,Godtoucher
52048,Jungle Weaver
52059,Keeper of Progenitus
52070,Lush Growth
52080,Mighty Emergence
52089,Manaplasm
52099,Mosstodon
52108,Mycoloth
52126,Naya Battlemage
52136,Ooze Garden
52147,Resounding Roar
52156,Rhox Charger
52167,Sacellum Godspeaker
52176,Savage Hunger
52195,Soul's Might
52206,Spearbreaker Behemoth
52216,Topan Ascetic
52225,Wild Nacatl
52243,Ajani Vengeant
52274,Blood Cultist
52283,Branching Bolt
52294,Brilliant Ultimatum
52304,Broodmate Dragon
52314,Bull Cerodon
52323,Carrion Thrash
52332,Clarion Ultimatum
52342,Cruel Ultimatum
52352,Deft Duelist
52372,Esper Charm
52380,Fire-Field Ogre
52389,Goblin Deathraiders
52398,Godsire
52408,Grixis Charm
52429,Hindering Light
52438,Jhessian Infiltrator
52449,Jund Charm
52460,Kederekt Creeper
52469,Kiss of the Amesha
52478,Kresh the Bloodbraided
52488,Mayael the Anima
52499,Naya Charm
52509,Necrogenesis
52518,Prince of Thralls
52527,Punish Ignorance
52537,Qasali Ambusher
52557,Rakeclaw Gargantuan
52566,Realm Razer
52576,Rhox War Monk
52586,Rip-Clan Crasher
52596,Sangrite Surge
52605,Sarkhan Vol
52645,Sigil Blessing
52654,Sphinx Sovereign
52672,Steward of Valeron
52682,Stoic Angel
52691,Swerve
52700,Thoughtcutter Agent
52710,Tidehollow Sculler
52721,Tidehollow Strix
52731,Titanic Ultimatum
52749,Violent Ultimatum
52760,Waveskimmer Aven
52769,Windwright Mage
52778,Woolly Thoctar
52787,Lich's Mirror
52797,Minion Reflector
52807,Obelisk of Bant
52817,Obelisk of Esper
52826,Obelisk of Grixis
52837,Obelisk of Jund
52846,Obelisk of Naya
52855,Quietus Spike
52865,Relic of Progenitus
52874,Sigil of Distinction
52926,Grixis Panorama
52937,Jund Panorama
52947,Jungle Shrine
52957,Naya Panorama
52967,Savage Lands
53197,Carrier Pigeons
53205,Errand of Duty
53217,Inheritance
53221,Ivory Gargoyle
53225,Juniper Order Advocate
53229,Kjeldoran Escort
53237,Kjeldoran Home Guard
53242,Kjeldoran Pride
53251,Martyrdom
53260,Noble Steeds
53268,Reinforcements
53285,Royal Decree
53290,Royal Herbalist
53298,Scars of the Veteran
53303,Seasoned Tactician
53307,Sustaining Spirit
53311,Sworn Defender
53316,Unlikely Alliance
53320,Wild Aesthir
53336,Awesome Presence
53344,Benthic Explorers
53362,False Demise
53374,Foresight
53384,Lat-Nam's Legacy
53397,Phantasmal Sphere
53401,Soldevi Heretic
53417,Spiny Starfish
53429,Storm Elemental
53434,Suffocation
53438,Thought Lash
53442,Tidal Control
53447,Viscerid Armor
53455,Viscerid Drone
53460,Balduvian Dead
53465,Casting of Bones
53476,Contagion
53481,Diseased Vermin
53486,Dystopia
53491,Fatal Lore
53496,Feast or Famine
53504,Fevered Strength
53512,Insidious Bookworms
53521,Keeper of Tresserhorn
53525,Krovikan Horror
53530,Krovikan Plague
53534,Lim-Dûl's High Guard
53542,Misinformation
53546,Phantasmal Fiend
53555,Phyrexian Boon
53563,Ritual of the Machine
53567,Soldevi Adnate
53577,Stench of Decay
53585,Stromgald Spy
53589,Swamp Mosquito
53597,Agent of Stromgald
53611,Balduvian War-Makers
53619,Bestial Fury
53628,Burnout
53632,Chaos Harlequin
53636,Death Spark
53641,Enslaved Scout
53649,Gorilla Shaman
53657,Gorilla War Cry
53675,Omen of Fire
53685,Primitive Justice
53689,Pyrokinesis
53693,Rogue Skycaptain
53697,Soldier of Fortune
53709,Varchild's Crusader
53717,Varchild's War-Riders
53722,Veteran's Voice
53730,Bounty of the Hunt
53735,Deadly Insect
53748,Elvish Ranger
53756,Elvish Spirit Guide
53760,Fyndhorn Druid
53768,Gargantuan Gorilla
53772,Gift of the Woods
53780,Gorilla Berserkers
53797,Hail Storm
53801,Kaysa
53806,Nature's Chosen
53811,Nature's Wrath
53816,Splintering Wind
53820,Taste of Paradise
53828,Tornado
53833,Undergrowth
53842,Whip Vine
53850,Yavimaya Ancients
53858,Yavimaya Ants
53862,Energy Arc
53866,Lim-Dûl's Vault
53870,Lim-Dûl's Paladin
53874,Surge of Strength
53878,Nature's Blessing
53883,Wandering Mage
53888,Lord of Tresserhorn
53893,Misfortune
53898,Winter's Night
53903,Phelddagrif
53908,Aesthir Glider
53916,Ashnod's Cylix
53920,Astrolabe
53929,Floodwater Dam
53933,Gustha's Scepter
53938,Helm of Obedience
53942,Lodestone Bauble
53947,Mishra's Groundbreaker
53956,Phyrexian Devourer
53960,Phyrexian Portal
53965,Phyrexian War Beast
53973,Scarab of the Unseen
53977,Shield Sphere
53982,Sol Grail
53986,Soldevi Digger
53991,Soldevi Sentry
53999,Soldevi Steam Beast
54012,Urza's Engine
54016,Whirling Catapult
54020,Balduvian Trading Post
54025,Heart of Yavimaya
54030,Kjeldoran Outpost
54035,Lake of the Dead
54039,School of the Unseen
54043,Sheltered Valley
54048,Soldevi Excavations
54053,Thawing Glaciers
54058,Angelfire Crusader
54067,Coalition Flag
54077,Coalition Honor Guard
54088,Dega Disciple
54097,Dega Sanctuary
54107,Degavolver
54117,Diversionary Tactics
54126,Divine Light
54137,Enlistment Officer
54146,False Dawn
54156,Gerrard Capashen
54166,Haunted Angel
54177,Helionaut
54187,Manacles of Decay
54197,Orim's Thunder
54207,Shield of Duty and Reason
54218,Spectral Lynx
54229,Standard Bearer
54238,Ceta Disciple
54248,Ceta Sanctuary
54258,Cetavolver
54268,Coastal Drake
54278,Evasive Action
54289,Ice Cave
54309,Jaded Response
54319,Jilt
54328,Living Airship
54338,Reef Shaman
54349,Shimmering Mirage
54358,Tidal Courier
54368,Unnatural Selection
54379,Vodalian Mystic
54389,Whirlpool Drake
54399,Whirlpool Rider
54410,Whirlpool Warrior
54421,Dead Ringers
54431,Desolation Angel
54441,Foul Presence
54451,Grave Defiler
54461,Last Caress
54471,Mind Extraction
54480,Mournful Zombie
54489,Necra Disciple
54499,Necra Sanctuary
54509,Necravolver
54546,Planar Despair
54556,Quagmire Druid
54566,Suppress
54577,Urborg Uprising
54587,Zombie Boa
54606,Bloodfire Dwarf
54617,Bloodfire Infusion
54627,Bloodfire Kavu
54637,Desolation Giant
54647,Dwarven Landslide
54657,Dwarven Patrol
54666,Goblin Ringleader
54676,Illuminate
54686,Kavu Glider
54695,Minotaur Tactician
54704,Raka Disciple
54714,Raka Sanctuary
54724,Rakavolver
54744,Tahngarth's Glare
54754,Tundra Kavu
54763,Wild Research
54773,Ana Disciple
54783,Ana Sanctuary
54793,Anavolver
54803,Bog Gnarr
54812,Gaea's Balance
54822,Glade Gnarr
54832,Kavu Howler
54842,Kavu Mauler
54851,Lay of the Land
54861,Penumbra Bobcat
54871,Penumbra Kavu
54881,Penumbra Wurm
54892,Savage Gorilla
54902,Strength of Night
54911,Sylvan Messenger
54921,Symbiotic Deployment
54932,Tranquil Path
54941,Urborg Elf
54951,Aether Mutation
54961,Captain's Maneuver
54971,Consume Strength
54980,Cromat
54991,Death Grasp
55000,Death Mutation
55010,Ebony Treefolk
55019,Fervent Charge
55029,Flowstone Charger
55039,Fungal Shambler
55048,Gaea's Skyfolk
55058,Gerrard's Verdict
55068,Goblin Legionnaire
55078,Goblin Trenches
55099,Jungle Barrier
55107,Last Stand
55118,Lightning Angel
55129,Llanowar Dead
55137,Martyrs' Tomb
55146,Minotaur Illusionist
55167,Overgrown Estate
55187,Powerstone Minefield
55208,Putrid Warrior
55228,Razorfin Hunter
55239,Soul Link
55250,Spiritmonger
55260,Squee's Embrace
55271,Squee's Revenge
55282,Suffocating Blast
55293,Temporal Spring
55321,Fire // Ice
55337,Illusion // Reality
55352,Life // Death
55367,Night // Day
55382,Order // Chaos
55407,Dodecapod
55428,Emblazoned Golem
55449,Mask of Intolerance
55513,Ardent Plea
55523,Aven Mimeomancer
55534,Ethercaste Knight
55545,Ethersworn Shieldmage
55554,Fieldmist Borderpost
55564,Filigree Angel
55594,Offering to Asha
55603,Sanctum Plowbeast
55613,Shield of the Righteous
55623,Sovereigns of Lost Alara
55633,Stormcaller's Boon
55644,Talon Trooper
55653,Unbender Tine
55664,Wall of Denial
55673,Architects of Will
55684,Brainbite
55702,Etherium Abomination
55711,Illusory Demon
55721,Jhessian Zombies
55731,Kathari Remnant
55741,Lich Lord of Unx
55750,Mask of Riddles
55761,Mind Funeral
55772,Mistvein Borderpost
55783,Nemesis of Reason
55794,Soul Manipulation
55803,Soulquake
55822,Vedalken Ghoul
55832,Anathemancer
55853,Breath of Malfegor
55864,Deathbringer Thoctar
55875,Defiler of Souls
55886,Demonic Dread
55896,Demonspine Whip
55906,Igneous Pouncer
55916,Kathari Bomber
55927,Lightning Reaver
55938,Monstrous Carabid
55946,Sanity Gnawers
55956,Singe-Mind Ogre
55974,Thought Hemorrhage
55983,Veinfire Borderpost
55993,Blitz Hellion
56012,Colossal Might
56023,Deadshot Minotaur
56032,Dragon Broodmother
56041,Firewild Borderpost
56052,Godtracker of Jund
56061,Gorger Wurm
56070,Mage Slayer
56080,Predatory Advantage
56089,Rhox Brute
56098,Spellbreaker Behemoth
56108,Valley Rannet
56118,Vengeful Rebirth
56127,Violent Outburst
56137,Vithian Renegades
56157,Captured Sunlight
56177,Enlisted Wurm
56188,Grizzled Leotau
