,cmc,power,resistence,raridades,cluster_textclass,predicted_cluster,true_label
155,0.125,0.0625,0.0,0.5,0.4907063197026022,399,0.04
156,0.375,0.3125,0.26666666666666666,0.875,0.5074349442379182,234,0.35
157,0.1875,0.125,0.06666666666666667,0.0,0.912639405204461,22,0.04
158,0.125,0.125,0.0,0.0,0.36802973977695164,388,0.06
159,0.3125,0.125,0.2,0.875,0.895910780669145,1232,42.79
160,0.0625,0.0625,0.0,0.0,0.5966542750929368,948,0.99
161,0.25,0.1875,0.13333333333333336,0.0,0.6301115241635687,524,0.09
162,0.25,0.3125,0.2,0.5,0.10223048327137546,813,0.1
163,0.3125,0.125,0.2,0.5,0.49256505576208176,645,0.08
164,0.375,0.1875,0.2,0.5,0.03717472118959107,172,0.05
165,0.1875,0.1875,0.06666666666666667,0.875,0.16356877323420074,663,0.66
166,0.5,0.4375,0.4,0.875,0.137546468401487,526,0.45
167,0.1875,0.125,0.06666666666666667,0.5,0.19144981412639403,1036,0.04
168,0.0625,0.0,0.13333333333333336,0.0,0.32899628252788105,287,75.0
169,0.1875,0.125,0.06666666666666667,0.0,0.3587360594795539,211,0.13
170,0.1875,0.0625,0.13333333333333336,0.5,0.8773234200743494,543,0.2
171,0.5625,0.5625,0.5333333333333333,0.875,0.1895910780669145,419,0.48
172,0.375,0.25,0.2,0.5,0.3643122676579926,331,0.36
173,0.3125,0.0,0.2,0.875,0.6821561338289962,121,0.0
174,0.25,0.3125,0.13333333333333336,0.5,0.6096654275092936,1016,0.06
175,0.3125,0.1875,0.13333333333333336,0.5,0.009293680297397768,835,0.08
176,0.0,0.0,0.06666666666666667,0.0,0.05390334572490706,219,0.3
177,0.4375,0.25,0.2,0.625,0.07063197026022304,929,17.9
178,0.3125,0.3125,0.26666666666666666,0.875,0.7230483271375464,844,0.0
179,0.1875,0.1875,0.2,0.5,0.39776951672862454,862,6.4
180,0.0,0.0625,0.0,0.0,0.1765799256505576,1079,0.4
181,0.0,0.0625,0.0,0.0,0.022304832713754646,970,0.4
182,0.0625,0.0625,0.0,0.0,0.5520446096654275,948,7.61
183,0.125,0.125,0.13333333333333336,0.875,0.07434944237918215,954,0.0
184,0.125,0.0625,0.0,0.0,0.5520446096654275,416,0.0
185,0.25,0.1875,0.13333333333333336,0.875,0.9089219330855018,142,0.0
186,0.375,0.375,0.33333333333333337,0.875,0.42936802973977695,850,0.0
187,0.0625,0.125,0.06666666666666667,0.5,0.12267657992565055,23,4.14
188,0.3125,0.125,0.26666666666666666,0.875,0.2899628252788104,294,0.0
189,0.125,0.125,0.06666666666666667,0.5,0.009293680297397768,438,29.9
190,0.0625,0.25,0.2,0.0,0.22862453531598512,637,9.4
191,0.125,0.125,0.06666666666666667,0.875,0.6338289962825279,307,91.99
192,0.25,0.25,0.0,0.5,0.29182156133828996,1217,94.99
193,0.25,0.1875,0.13333333333333336,0.5,0.05390334572490706,332,0.0
194,0.3125,0.25,0.13333333333333336,0.875,0.16171003717472118,338,0.0
195,0.1875,0.0625,0.0,0.0,0.10780669144981413,4,0.0
196,0.375,0.3125,0.26666666666666666,0.0,0.4962825278810409,345,0.0
197,0.1875,0.0,0.26666666666666666,0.5,0.9795539033457249,1153,0.0
198,0.3125,0.25,0.2,0.5,0.9014869888475836,1246,0.0
199,0.125,0.125,0.06666666666666667,0.5,0.009293680297397768,438,0.0
200,0.375,0.3125,0.26666666666666666,0.875,0.9721189591078067,44,0.0
201,0.1875,0.0,0.0,0.0,0.21933085501858735,615,0.0
202,0.125,0.0625,0.0,0.875,0.9014869888475836,365,0.0
203,0.1875,0.0625,0.0,0.5,0.9925650557620818,823,0.0
204,0.25,0.125,0.06666666666666667,0.5,0.8048327137546468,8,0.0
205,0.1875,0.0625,0.2,0.5,0.9200743494423791,98,49.99
206,0.0625,0.0,0.0,0.875,0.18401486988847582,967,0.0
207,0.1875,0.125,0.13333333333333336,0.875,0.7267657992565055,420,109.9
208,0.25,0.125,0.13333333333333336,0.5,0.671003717472119,533,0.09
209,0.1875,0.0625,0.0,0.5,0.2657992565055762,1144,0.0
210,0.1875,0.0625,0.0,0.0,0.09107806691449814,4,0.0
211,0.3125,0.0625,0.0,0.5,0.09107806691449814,550,0.0
212,0.125,0.375,0.13333333333333336,0.875,0.05390334572490706,724,0.0
213,0.0625,0.0625,0.0,0.5,0.07434944237918215,94,0.0
214,0.1875,0.125,0.06666666666666667,0.875,0.671003717472119,666,0.0
215,0.125,0.125,0.06666666666666667,0.0,0.09107806691449814,448,0.0
216,0.25,0.1875,0.13333333333333336,0.875,0.05390334572490706,320,300.0
217,0.1875,0.125,0.06666666666666667,0.875,0.5055762081784386,162,0.0
218,0.25,0.1875,0.2,0.5,0.07434944237918215,1237,0.0
219,0.3125,0.25,0.2,0.875,0.1970260223048327,27,0.0
220,0.1875,0.125,0.06666666666666667,0.5,0.5055762081784386,596,0.0
221,0.1875,0.0,0.4666666666666667,0.5,0.32899628252788105,725,39.99
222,0.0625,0.125,0.2,0.5,0.20631970260223048,157,0.0
223,0.125,0.0625,0.0,0.5,0.0055762081784386614,423,0.0
224,0.3125,0.125,0.2,0.875,0.741635687732342,453,0.0
225,0.125,0.125,0.0,0.875,0.13011152416356878,1123,0.0
226,0.0625,0.125,0.06666666666666667,0.0,0.3494423791821561,1286,0.73
227,0.375,0.5,0.4666666666666667,0.875,0.10223048327137546,572,0.0
228,0.25,0.125,0.06666666666666667,0.875,0.12267657992565055,786,0.0
229,0.1875,0.0625,0.0,0.5,0.39962825278810404,806,0.0
230,0.0625,0.0625,0.0,0.0,0.05390334572490706,222,0.0
231,0.0625,0.0625,0.0,0.0,0.36802973977695164,796,0.0
232,0.3125,0.125,0.2,0.5,0.49256505576208176,645,0.0
233,0.0625,0.0625,0.0,0.875,0.5520446096654275,130,0.0
234,0.1875,0.0,0.06666666666666667,0.875,0.3661710037174721,961,10.95
235,0.1875,0.125,0.13333333333333336,0.5,0.9200743494423791,1140,0.0
236,0.1875,0.0,0.4,0.5,0.32899628252788105,725,0.0
237,0.25,0.5625,0.4,0.0,0.6115241635687733,986,0.0
238,0.0625,0.1875,0.26666666666666666,0.875,0.7973977695167286,1109,0.0
239,0.375,0.0,0.2,0.875,0.12267657992565055,1155,0.0
240,0.25,0.0,0.33333333333333337,0.5,0.9200743494423791,78,0.0
241,0.0,0.9375,0.9333333333333333,0.625,0.6059479553903345,138,106.21
242,0.625,0.75,0.7333333333333334,0.625,0.5613382899628252,355,380.0
243,0.6875,0.625,0.6,0.625,0.5613382899628252,296,489.9
244,0.1875,0.125,0.13333333333333336,0.5,0.016728624535315983,975,0.1
245,0.125,0.125,0.0,0.0,0.07806691449814127,610,0.07
246,0.375,0.1875,0.26666666666666666,0.0,0.6877323420074349,523,0.08
247,0.0625,0.0625,0.0,0.0,0.8810408921933085,501,0.24
248,0.25,0.25,0.2,0.625,0.1821561338289963,171,19.79
249,0.1875,0.1875,0.0,0.5,0.6319702602230483,1154,0.5
250,0.125,0.25,0.2,0.0,0.8810408921933085,935,0.09
251,0.125,0.125,0.06666666666666667,0.875,0.3494423791821561,754,32.0
252,0.1875,0.125,0.06666666666666667,0.875,0.34572490706319703,12,0.95
253,0.1875,0.125,0.13333333333333336,0.0,0.24907063197026022,422,0.16
254,0.1875,0.125,0.06666666666666667,0.625,0.5892193308550185,485,18.04
255,0.25,0.1875,0.06666666666666667,0.0,0.8884758364312267,1316,0.05
256,0.25,0.1875,0.2,0.875,0.966542750929368,673,150.0
257,0.3125,0.25,0.13333333333333336,0.875,0.1449814126394052,338,14.9
258,0.125,0.125,0.06666666666666667,0.0,0.5650557620817843,1220,0.49
259,0.3125,0.0625,0.0,0.0,0.483271375464684,471,0.05
260,0.125,0.0,0.2,0.875,0.8680297397769516,1021,0.0
261,0.0625,0.0625,0.0,0.875,0.020446096654275093,325,6.93
262,0.1875,0.125,0.06666666666666667,0.0,0.6877323420074349,143,0.04
263,0.3125,0.1875,0.2,0.5,0.8550185873605948,1057,0.0
264,0.375,0.25,0.2,0.0,0.8345724907063197,363,0.04
265,0.25,0.1875,0.06666666666666667,0.0,0.9851301115241635,1316,0.04
266,0.375,0.25,0.33333333333333337,0.625,0.9275092936802973,1235,73.61
267,0.125,0.0625,0.0,0.0,0.8401486988847583,11,0.07
268,0.3125,0.1875,0.2,0.875,0.03345724907063197,168,3.12
269,0.1875,0.125,0.13333333333333336,0.0,0.5892193308550185,280,0.0
270,0.125,0.0625,0.06666666666666667,0.0,0.5892193308550185,848,0.08
271,0.5,0.3125,0.26666666666666666,0.875,0.9014869888475836,892,6.33
272,0.25,0.25,0.26666666666666666,0.0,0.7472118959107806,952,0.07
273,0.25,0.1875,0.13333333333333336,0.5,0.5892193308550185,424,0.04
274,0.3125,0.125,0.06666666666666667,0.5,0.1449814126394052,891,1.74
275,0.0625,0.0625,0.0,0.5,0.10408921933085502,94,0.04
276,0.25,0.125,0.06666666666666667,0.875,0.8420074349442379,949,0.74
277,0.25,0.125,0.06666666666666667,0.875,0.828996282527881,949,20.0
278,0.25,0.125,0.13333333333333336,0.0,0.0055762081784386614,1213,0.15
279,0.125,0.0,0.0,0.5,0.38289962825278806,636,6.0
280,0.1875,0.0625,0.0,0.0,0.1821561338289963,1193,0.04
281,0.125,0.125,0.0,0.0,0.6356877323420074,680,0.09
282,0.1875,0.0625,0.2,0.875,0.13568773234200743,840,0.25
283,0.0625,0.125,0.0,0.875,0.9758364312267658,675,13.99
284,0.1875,0.0625,0.0,0.0,0.22304832713754646,615,0.0
285,0.25,0.25,0.13333333333333336,0.875,0.5613382899628252,278,24.98
286,0.375,0.25,0.2,0.875,0.7565055762081784,824,29.99
287,0.125,0.1875,0.0,0.875,0.23605947955390333,104,8.0
288,0.5,0.375,0.33333333333333337,0.875,0.12825278810408922,134,0.7
289,0.125,0.0625,0.06666666666666667,0.0,0.5985130111524163,848,0.05
290,0.0625,0.0625,0.0,0.0,0.516728624535316,253,0.0
291,0.25,0.1875,0.13333333333333336,0.0,0.6189591078066914,524,0.04
292,0.25,0.1875,0.13333333333333336,0.5,0.12267657992565055,396,0.1
293,0.3125,0.1875,0.2,0.0,0.9442379182156133,137,0.25
294,0.1875,0.125,0.06666666666666667,0.875,0.0724907063197026,527,2.51
295,0.125,0.125,0.0,0.875,0.5892193308550185,833,2.39
296,0.1875,0.1875,0.06666666666666667,0.875,0.2806691449814126,372,0.25
297,0.3125,0.25,0.2,0.875,0.241635687732342,27,12.0
298,0.5,0.1875,0.2,0.875,0.42007434944237915,1121,0.0
299,0.125,0.125,0.06666666666666667,0.0,0.24721189591078066,1264,0.18
300,0.125,0.0625,0.06666666666666667,0.625,0.2379182156133829,535,1199.9
301,0.375,0.3125,0.2,0.5,0.516728624535316,808,0.04
302,0.0625,0.0625,0.0,0.5,0.8215613382899628,91,0.1
303,0.625,0.5625,0.4,0.875,0.4423791821561338,192,1.6
304,0.1875,0.1875,0.06666666666666667,0.0,0.4535315985130111,701,0.04
305,0.1875,0.1875,0.0,0.0,0.06691449814126393,861,0.05
306,0.125,0.125,0.0,0.0,0.6152416356877323,680,0.04
307,0.25,0.125,0.06666666666666667,0.5,0.620817843866171,633,0.04
308,0.25,0.1875,0.06666666666666667,0.5,0.013011152416356878,1206,0.34
309,0.0625,0.0625,0.06666666666666667,0.5,0.7509293680297398,431,1.75
310,0.25,0.1875,0.13333333333333336,0.0,0.5446096654275092,123,0.04
311,0.1875,0.125,0.06666666666666667,0.625,0.40892193308550184,736,0.0
312,0.3125,0.1875,0.06666666666666667,0.0,0.6468401486988847,1118,0.08
313,0.125,0.125,0.0,0.5,0.40892193308550184,937,2.1
314,0.0625,0.0625,0.0,0.625,0.6059479553903345,780,169.07
315,0.4375,0.375,0.26666666666666666,0.0,0.7695167286245352,120,0.35
316,0.375,0.3125,0.4,0.5,0.7973977695167286,20,0.04
317,0.125,0.0625,0.0,0.875,0.9144981412639405,365,89.99
318,0.125,0.0625,0.0,0.0,0.137546468401487,353,0.09
319,0.3125,0.1875,0.13333333333333336,0.5,0.620817843866171,463,0.04
320,0.125,0.0625,0.06666666666666667,0.0,0.7788104089219331,82,0.09
321,0.125,0.0,0.06666666666666667,0.5,0.7490706319702601,431,1.39
322,0.1875,0.0625,0.0,0.0,0.020446096654275093,922,0.14
323,0.1875,0.125,0.0,0.875,0.5278810408921932,45,0.0
324,0.0625,0.125,0.13333333333333336,0.5,0.7825278810408921,890,2.28
325,0.25,0.25,0.2,0.0,0.12825278810408922,53,0.09
326,0.625,1.0,1.0,0.875,0.05204460966542751,265,9.3
327,0.25,0.125,0.06666666666666667,0.875,0.25464684014869887,147,41.41
328,0.1875,0.125,0.06666666666666667,0.5,0.12267657992565055,289,0.25
329,0.1875,0.125,0.13333333333333336,0.0,0.7713754646840149,561,0.09
330,0.3125,0.1875,0.26666666666666666,0.0,0.4070631970260223,919,0.04
331,0.1875,0.0625,0.0,0.625,0.31226765799256506,36,130.0
332,0.375,0.3125,0.26666666666666666,0.875,0.7676579925650557,119,0.35
333,0.5,0.3125,0.26666666666666666,0.875,0.966542750929368,892,11.66
334,0.25,0.25,0.0,0.875,0.6840148698884758,1322,8.42
335,0.25,0.125,0.13333333333333336,0.625,0.137546468401487,563,0.95
336,0.375,0.1875,0.2,0.625,0.6319702602230483,1254,29.9
337,0.3125,0.125,0.2,0.875,0.21747211895910779,744,10.99
338,0.3125,0.125,0.06666666666666667,0.5,0.4758364312267658,745,0.04
339,0.25,0.25,0.13333333333333336,0.5,0.08736059479553902,300,0.04
340,0.25,0.1875,0.06666666666666667,0.875,0.7695167286245352,281,27.41
341,0.1875,0.125,0.06666666666666667,0.0,0.7509293680297398,631,0.1
342,0.25,0.1875,0.2,0.875,0.5223048327137546,1063,7.85
343,0.125,0.125,0.06666666666666667,0.0,0.7100371747211895,871,1.13
344,0.125,0.125,0.06666666666666667,0.5,0.040892193308550186,438,1.5
345,0.3125,0.375,0.33333333333333337,0.875,0.061338289962825275,684,14.52
346,0.1875,0.1875,0.13333333333333336,0.0,0.8884758364312267,1087,0.04
347,0.125,0.0625,0.0,0.0,0.8754646840148699,1266,0.82
348,0.125,0.125,0.06666666666666667,0.5,0.08364312267657992,23,0.9
349,0.25,0.125,0.06666666666666667,0.875,0.5223048327137546,541,9.0
350,0.1875,0.1875,0.13333333333333336,0.875,0.983271375464684,1284,1.5
351,0.3125,0.1875,0.2,0.875,0.21747211895910779,744,7.56
352,0.1875,0.0,0.26666666666666666,0.875,0.775092936802974,200,13.0
353,0.375,0.3125,0.4,0.625,0.6059479553903345,1181,129.99
354,0.375,0.1875,0.26666666666666666,0.625,0.6784386617100372,385,39.99
355,0.1875,0.1875,0.13333333333333336,0.0,0.011152416356877323,712,0.07
356,0.4375,0.1875,0.26666666666666666,0.875,0.32342007434944237,89,19.5
357,0.25,0.0625,0.0,0.625,0.258364312267658,257,298.9
358,0.3125,0.1875,0.13333333333333336,0.875,0.5892193308550185,411,0.75
359,0.5,0.3125,0.4666666666666667,0.875,0.16356877323420074,897,4.04
360,0.25,0.1875,0.13333333333333336,0.625,0.6226765799256505,3,35.92
361,0.0625,0.0625,0.0,0.875,0.45724907063197023,516,3.5
362,0.125,0.125,0.06666666666666667,0.0,0.6765799256505576,871,0.09
363,0.375,0.25,0.33333333333333337,0.875,0.2732342007434944,1069,19.9
364,0.25,0.125,0.13333333333333336,0.875,0.21747211895910779,147,0.79
365,0.25,0.1875,0.13333333333333336,0.5,0.4907063197026022,10,0.04
366,0.125,0.1875,0.0,0.0,0.3382899628252788,827,0.14
367,0.25,0.125,0.13333333333333336,0.875,0.31226765799256506,936,17.11
368,0.125,0.125,0.06666666666666667,0.875,0.0055762081784386614,685,0.0
369,0.5,0.5,0.4666666666666667,0.625,0.18029739776951673,328,35.99
370,0.25,0.125,0.13333333333333336,0.875,0.47769516728624534,886,1.6
371,0.375,0.375,0.33333333333333337,0.875,0.22490706319702602,186,14.0
372,0.25,0.25,0.13333333333333336,0.875,0.22490706319702602,1191,29.98
373,0.1875,0.125,0.06666666666666667,0.5,0.5223048327137546,90,0.3
374,0.25,0.125,0.06666666666666667,0.625,0.241635687732342,918,29.4
