Name
Cease
Concoct
Tail the Suspect
Hustle
Bother
Assemble
Bedeck
Expansion
Explosion
Altar of the Wretched // Wretched Bonemass
Memory
Eye of Ojer Taq // Apex Observatory
"Aclazotz, Deepest Betrayal // Temple of the Dead"
"Huatli, Poet of Unity // Roar of the Fifth People"
Idol of the Deep King // Sovereign's Macuahuitl
Inverted Iceberg // Iceberg Titan
Grasping Shadows // Shadows' Lair
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun"
Jade Seedstones // Jadeheart Attendant
"Ojer Axonil, Deepest Might // Temple of Power"
"Ojer Kaslem, Deepest Growth // Temple of Cultivation"
"Ojer Pakpatiq, Deepest Epoch // Temple of Cyclical Time"
"Ojer Taq, Deepest Foundation // Temple of Civilization"
"Matzalantli, the Great Door // The Core"
Kaslem's Stonetree // Kaslem's Strider
Lodestone Needle // Guidestone Compass
Master's Guide-Mural // Master's Manufactory
Braided Net // Braided Quipu
"Brass's Tunnel-Grinder // Tecutlan, the Searing Rift"
Geological Appraiser
Dire Flail // Dire Blunderbuss
Dowsing Device // Geode Grotto
Clay-Fired Bricks // Cosmium Kiln
Coward
Killer
No More
Go Hog Wild
"Kellan, the Fae-Blooded"
Horned Loch-Whale
Heartflame Duelist
Mosswood Dreadknight
Conceited Witch
Beanstalk Wurm
Beluna Grandsquall
Elusive Otter
Invasion of Ravnica // Guildpact Paragon
Invasion of Zendikar // Awakened Skyclave
Invasion of Xerex // Vertex Paladin
Invasion of Vryn // Overloaded Mage-Ring
Invasion of Ulgrotha // Grandmother Ravi Sengir
"Invasion of Theros // Ephara, Ever-Sheltering"
Invasion of Tarkir // Defiant Thundermaw
Invasion of Shandalar // Leyline Surge
"Invasion of Segovia // Caetus, Sea Tyrant of Segovia"
Invasion of Regatha // Disciples of the Inferno
Invasion of Pyrulea // Gargantuan Slabhorn
Jin-Gitaxias // The Great Synthesis
Invasion of New Phyrexia // Teferi Akosa of Zhalfir
Invasion of New Capenna // Holy Frazzle-Cannon
Invasion of Muraganda // Primordial Plasm
Invasion of Moag // Bloomwielder Dryads
Invasion of Mercadia // Kyren Flamewright
Aetherblade Agent // Gitaxian Mindstinger
Invasion of Kylem // Valor's Reach Tag Team
Khenra Spellspear // Gitaxian Spellstalker
"Etali, Primal Conqueror // Etali, Primal Sickness"
Elesh Norn // The Argent Etchings
Harried Artisan // Phyrexian Skyflayer
Gnottvold Hermit // Chrome Host Hulk
Bonded Herdbeast // Plated Kilnbeast
Blightreaper Thallid // Blightsower Thallid
"Ayara, Widow of the Realm // Ayara, Furnace Queen"
Captive Weird // Compleated Conjurer
Invasion of Lorwyn // Winnowing Forces
Invasion of Tolvada // The Broken Sky
Invasion of Karsus // Refraction Elemental
Invasion of Kamigawa // Rooftop Saboteurs
Invasion of Eldraine // Prickle Faeries
Invasion of Dominaria // Serra Faithkeeper
Invasion of Ergamon // Truga Cliffcharger
"Invasion of Fiora // Marchesa, Resolute Monarch"
Invasion of Gobakhan // Lightshield Array
"Invasion of Ikoria // Zilortha, Apex of Ikoria"
Invasion of Innistrad // Deluge of the Dead
Invasion of Ixalan // Belligerent Regisaur
"Invasion of Kaladesh // Aetherwing, Golden-Scale Flagship"
Invasion of Kaldheim // Pyre of the World Tree
Invasion of Belenon // Belenon War Anthem
Invasion of Arcavios // Invocation of the Founders
Invasion of Amonkhet // Lazotep Convert
Invasion of Alara // Awaken the Maelstrom
Herbology Instructor // Malady Invoker
"Heliod, the Radiant Dawn // Heliod, the Warped Eclipse"
Invasion of Azgol // Ashen Reaper
Mayor of Avabruck // Howlpack Alpha
Kruin Outlaw // Terror of Kruin Pass
